tempo,pwm,periodo
131.76,153,602112
132.38,153,628036
132.88,153,497328
133.38,153,497924
133.97,153,495612
134.50,153,497356
135.00,153,408324
135.49,153,495344
136.12,154,537424
136.66,154,462012
137.19,154,531036
137.61,154,348060
138.11,154,495308
138.64,154,496688
139.19,154,527440
139.61,154,419040
140.14,154,527892
140.67,154,523412
141.26,155,589092
141.75,155,467184
142.21,155,459280
142.74,155,460884
143.20,155,461208
143.69,155,458876
144.15,155,463736
144.67,155,522268
145.16,155,488404
145.62,155,459764
146.06,156,434932
146.51,156,425280
146.98,156,411876
147.40,156,389128
147.83,156,412972
148.31,156,472588
148.72,156,388424
149.16,156,413428
149.54,156,385888
149.98,156,414436
150.37,156,386824
150.81,156,414808
151.22,157,404064
151.67,157,401888
152.03,157,352788
152.43,157,398844
152.80,157,375468
153.23,157,376552
153.55,157,321716
154.01,157,402824
154.44,157,427212
154.84,157,400592
155.22,157,376860
155.57,157,355608
155.95,157,377032
156.34,158,387372
156.74,158,398768
157.11,158,349060
157.51,158,399432
157.88,158,349032
158.28,158,398400
158.63,158,347900
158.98,158,329144
159.28,158,298880
159.63,158,301568
159.97,158,298500
160.37,158,398416
160.72,158,328256
161.07,159,349160
161.43,159,351884
161.80,159,372520
162.14,159,343116
162.47,159,329044
162.80,159,280568
163.13,159,328396
163.43,159,260788
163.83,159,391972
164.15,159,324128
164.50,159,345736
164.82,159,324548
165.15,159,279760
165.52,159,371828
165.85,159,305876
166.17,160,322264
166.50,160,309840
166.85,160,309176
167.17,160,306780
167.48,160,308160
167.83,160,306184
168.20,160,350220
168.51,160,305960
168.83,160,309380
169.18,160,345624
169.49,160,307136
169.80,160,305800
170.12,160,307112
170.49,160,368160
170.84,160,306092
171.15,161,286792
171.46,161,310096
171.80,161,348804
172.10,161,289136
172.45,161,311092
172.77,161,328144
173.08,161,290836
173.37,161,289460
173.72,161,307904
174.07,161,348996
174.36,161,289112
174.69,161,291364
175.04,161,331100
175.35,161,307132
175.64,161,289296
175.97,161,292468
176.26,162,283668
176.55,162,278804
176.87,162,315668
177.20,162,316576
177.50,162,278404
177.81,162,277288
178.16,162,334076
178.48,162,277392
178.78,162,280812
179.11,162,334040
179.45,162,333824
179.73,162,279744
180.01,162,241024
180.33,162,318260
180.62,162,294560
180.94,162,280112
181.22,163,259436
181.51,163,270596
181.82,163,282132
182.09,163,265356
182.41,163,282272
182.67,163,265620
183.00,163,284920
183.30,163,304520
183.59,163,285132
183.86,163,268156
184.18,163,284492
184.45,163,230220
184.77,163,284056
185.09,163,284328
185.36,163,268536
185.68,163,287660
185.95,163,267156
186.26,164,265632
186.53,164,260632
186.83,164,260040
187.10,164,274064
187.42,164,312852
187.67,164,257600
188.02,164,309376
188.30,164,274808
188.59,164,294748
188.91,164,296824
189.18,164,273892
189.50,164,277444
189.81,164,276544
190.10,164,293384
190.38,164,274908
190.62,164,242904
190.90,164,259684
191.19,165,291744
191.46,165,251768
191.76,165,265852
192.06,165,301028
192.36,165,301028
192.65,165,285680
192.91,165,252284
193.22,165,265840
193.50,165,252368
193.77,165,251124
194.07,165,266460
194.36,165,286908
194.61,165,249796
194.88,165,250768
195.16,165,285780
195.43,165,252228
195.73,165,266504
196.02,166,251892
196.32,166,279576
196.58,166,258568
196.85,166,244260
197.11,166,243460
197.40,166,258536
197.68,166,275660
197.92,166,243176
198.23,166,290316
198.51,166,277320
198.81,166,290348
199.10,166,290232
199.35,166,242496
199.62,166,242840
199.91,166,277584
200.17,166,256180
200.45,166,242748
200.71,166,255708
200.98,166,241076
201.27,167,272244
201.52,167,247780
201.80,167,280580
202.08,167,248128
202.32,167,203188
202.58,167,266760
202.83,167,248660
203.11,167,248124
203.38,167,265756
203.62,167,234476
203.90,167,266368
204.13,167,233976
204.38,167,235392
204.65,167,234300
204.89,167,231300
205.13,167,235948
205.41,167,248180
205.65,167,233924
205.93,167,248696
206.19,168,230356
206.43,168,242408
206.71,168,272352
206.97,168,259892
207.20,168,227324
207.44,168,229804
207.66,168,224036
207.94,168,242464
208.20,168,259024
208.44,168,240676
208.70,168,229832
208.94,168,228416
209.22,168,274236
209.48,168,260136
209.72,168,230000
209.95,168,227912
210.23,168,243396
210.50,168,273396
210.73,168,228888
210.99,168,230588
211.23,169,225256
211.50,169,237924
211.73,169,223936
212.03,169,269304
212.30,169,255024
212.53,169,235924
212.79,169,224460
213.01,169,221960
213.25,169,224096
213.50,169,253660
213.74,169,223484
213.99,169,253848
214.26,169,257068
214.51,169,227072
214.77,169,237524
215.03,169,255836
215.27,169,236424
215.54,169,237412
215.79,169,253288
216.06,170,256060
216.29,170,232208
216.55,170,230964
216.82,170,232456
217.07,170,218872
217.33,170,249504
217.59,170,261656
217.83,170,220324
218.04,170,218160
218.29,170,218576
218.53,170,219880
218.79,170,231816
219.04,170,249420
219.27,170,218752
219.52,170,219108
219.78,170,261280
220.05,170,248788
220.28,170,218972
220.54,170,231464
220.79,170,248824
221.05,171,261240
221.28,171,229520
221.52,171,242588
221.78,171,243736
222.08,171,286848
222.30,171,212924
222.52,171,214164
222.77,171,214392
223.02,171,245364
223.28,171,254908
223.51,171,224952
223.75,171,243520
223.96,171,212688
224.19,171,227128
224.44,171,243204
224.66,171,215192
224.91,171,242872
225.14,171,228560
225.38,171,214276
225.61,171,214804
225.85,171,243620
226.11,172,244580
226.33,172,212388
226.59,172,224044
226.84,172,254152
227.09,172,223624
227.34,172,240120
227.56,172,223164
227.77,172,210312
228.02,172,224948
228.24,172,209992
228.49,172,224564
228.70,172,210344
228.95,172,224216
229.16,172,210020
229.42,172,224396
229.66,172,211188
229.88,172,211248
230.14,172,225012
230.38,172,239012
230.60,172,211184
230.85,172,222908
231.09,173,238776
231.31,173,219288
231.55,173,235456
231.80,173,236476
232.02,173,206452
232.27,173,219984
232.48,173,207224
232.73,173,221936
232.97,173,246280
233.21,173,235696
233.43,173,219624
233.68,173,247600
233.93,173,248112
234.16,173,234552
234.38,173,219976
234.62,173,205904
234.84,173,207224
235.08,173,246652
235.33,173,218680
235.57,173,234948
235.79,173,218784
236.02,174,234172
236.23,174,190696
236.47,174,233332
236.72,174,230548
236.96,174,229968
237.21,174,255964
237.46,174,242460
237.70,174,242824
237.97,174,243824
238.19,174,213264
238.43,174,243028
238.66,174,203064
238.88,174,203808
239.12,174,214692
239.36,174,241928
239.59,174,203196
239.81,174,212960
240.04,174,230332
240.25,174,202756
240.50,174,215452
240.70,174,201444
240.94,174,214984
241.17,175,228964
241.37,175,198532
241.61,175,228104
241.85,175,238148
242.06,175,210984
242.26,175,198832
242.50,175,213512
242.74,175,236820
242.97,175,226760
243.17,175,198372
243.41,175,226876
243.62,175,212172
243.82,175,198716
244.06,175,212220
244.30,175,237772
244.53,175,228180
244.74,175,211120
244.98,175,238404
245.22,175,212372
245.44,175,199720
245.68,175,227312
245.90,175,210144
246.12,176,199924
246.33,176,196224
246.56,176,196248
246.79,176,236144
247.00,176,207604
247.24,176,235456
247.47,176,234744
247.70,176,225140
247.91,176,207716
248.17,176,261644
248.38,176,197148
248.60,176,196744
248.81,176,208104
249.08,176,262736
249.31,176,223680
249.48,176,167972
249.72,176,207960
249.95,176,208328
250.17,176,196144
250.41,176,235352
250.65,176,222368
250.86,176,197704
251.09,177,234208
251.31,177,193192
251.52,177,194868
251.75,177,206456
251.97,177,219712
252.22,177,231716
252.44,177,193948
252.67,177,221348
252.88,177,205096
253.11,177,206924
253.33,177,194436
253.57,177,222336
253.77,177,193816
254.01,177,205768
254.20,177,193544
254.42,177,193504
254.63,177,195184
254.86,177,232300
255.08,177,220236
255.29,177,204016
255.52,177,233224
255.78,177,232660
256.01,178,219920
256.22,178,203548
256.44,178,191472
256.64,178,203708
256.83,178,163268
257.05,178,192724
257.29,178,230084
257.52,178,202708
257.74,178,217872
257.97,178,217544
258.21,178,240956
258.43,178,217160
258.63,178,191808
258.86,178,203776
259.08,178,190952
259.28,178,191816
259.50,178,192004
259.71,178,193332
259.96,178,229568
260.15,178,190704
260.38,178,218020
260.61,178,217184
260.82,178,191868
261.03,179,190296
261.27,179,238676
261.50,179,226328
261.69,179,188524
261.92,179,201952
262.13,179,214560
262.33,179,189224
262.56,179,227260
262.79,179,226936
262.98,179,187824
263.17,179,163336
263.38,179,214836
263.62,179,226960
263.81,179,189100
264.03,179,189548
264.23,179,189080
264.45,179,200304
264.68,179,201796
264.90,179,215516
265.14,179,226780
265.36,179,189808
265.56,179,189644
265.78,179,201660
266.01,180,224896
266.22,180,213880
266.42,180,197948
266.65,180,223436
266.86,180,212792
267.06,180,187572
267.31,180,225504
267.51,180,197396
267.72,180,212556
267.92,180,187452
268.14,180,211832
268.36,180,213868
268.56,180,198364
268.77,180,212544
269.00,180,212536
269.23,180,225208
269.42,180,186424
269.67,180,224768
269.87,180,187348
270.10,180,198852
270.32,180,199108
270.55,180,199124
270.73,180,186820
270.96,180,199448
271.17,181,185220
271.36,181,184376
271.55,181,185232
271.78,181,222304
271.99,181,208612
272.21,181,211060
272.41,181,185272
272.63,181,196072
272.85,181,197052
273.04,181,184916
273.26,181,197740
273.48,181,195428
273.69,181,209640
273.89,181,195508
274.11,181,195676
274.33,181,221636
274.55,181,196124
274.77,181,196896
274.98,181,210392
275.18,181,195028
275.40,181,221452
275.63,181,221104
275.85,181,196444
276.06,182,210604
276.28,182,219948
276.48,182,183864
276.70,182,194376
276.88,182,183388
277.13,182,220168
277.31,182,183068
277.50,182,183412
277.76,182,231220
277.97,182,210148
278.17,182,183868
278.39,182,195464
278.63,182,219468
278.85,182,207996
279.07,182,208800
279.27,182,182720
279.48,182,209144
279.67,182,184024
279.89,182,220684
280.10,182,207072
280.30,182,184112
280.51,182,208244
280.73,182,209560
280.95,182,209344
281.14,183,183448
281.35,183,206620
281.57,183,205956
281.79,183,208048
281.98,183,192628
282.22,183,218492
282.42,183,182932
282.63,183,181608
282.85,183,218688
283.06,183,206772
283.28,183,206904
283.51,183,228792
283.69,183,181308
283.90,183,182468
284.06,183,145572
284.26,183,206584
284.49,183,228924
284.71,183,193420
284.93,183,193700
285.14,183,206172
285.37,183,218400
285.59,183,216772
285.80,183,192916
286.05,184,219244
286.23,184,180404
286.46,184,218072
286.67,184,214120
286.86,184,180572
287.06,184,181308
287.25,184,180532
287.47,184,192540
287.67,184,204780
287.89,184,205712
288.11,184,204512
288.30,184,181428
288.51,184,181088
